Country,Languages Spoken
Afghanistan,"Dari Persian, Pashtu (both official), other Turkic and minor languages"
Albania,"Albanian (Tosk is the official dialect), Greek"
Algeria,"Arabic (official), French, Berber dialects"
Andorra,"Catalán (official), French, Castilian, Portuguese"
Angola,"Portuguese (official), Bantu and other African languages"
Antigua and Barbuda,"English (official), local dialects"
Argentina,"Spanish (official), English, Italian, German, French"
Armenia,"Armenian 98%, Yezidi, Russian"
Australia,"English 79%, native and other languages"
Austria,"German (official nationwide); Slovene, Croatian, Hungarian (each official in one region)"
Azerbaijan,"Azerbaijani Turkic 89%, Russian 3%, Armenian 2%, other 6% (1995 est.)"
Bahamas,"English (official), Creole (among Haitian immigrants)"
Bahrain,"Arabic, English, Farsi, Urdu"
Bangladesh,"Bangla (official), English"
Barbados,English
Belarus,"Belorussian (White Russian), Russian, other"
Belgium,"Dutch (Flemish) 60%, French 40%, German less than 1% (all official)"
Belize,"English (official), Spanish, Mayan, Garifuna (Carib), Creole"
Benin,"French (official), Fon, Yoruba, tribal languages"
Bhutan,"Dzongkha (official), Tibetan dialects (among Bhotes), Nepalese dialects (among Nepalese)"
Bolivia,"Spanish, Quechua, Aymara (all official)"
Bosnia and Herzegovina,"Bosnian, Croatian, Serbian"
Botswana,"English 2% (official), Setswana 78%, Kalanga 8%, Sekgalagadi 3%, other (2001)"
Brazil,"Portuguese (official), Spanish, English, French"
Brunei,"Malay (official), English, Chinese"
Bulgaria,"Bulgarian 85%, Turkish 10%, Roma 4%"
Burkina Faso,French (official); native African (Sudanic) languages 90%
Burundi,"Kirundi and French (official), Swahili"
Cambodia,"Khmer 95% (official), French, English"
Cameroon,"French, English (both official); 24 major African language groups"
Canada,"English 59.3%, French 23.2% (both official); other 17.5%"
Cape Verde,"Portuguese, Criuolo"
Central African Republic,"French (official), Sangho (lingua franca, national), tribal languages"
Chad,"French, Arabic (both official); Sara; more than 120 languages and dialects"
Chile,Spanish
China,"Standard Chinese (Mandarin/Putonghua), Yue (Cantonese), Wu (Shanghaiese), Minbei (Fuzhou), Minnan (Hokkien-Taiwanese), Xiang, Gan, Hakka dialects, minority languages"
Colombia,Spanish
Comoros,"Arabic and French (both official), Shikomoro (Swahili/Arabic blend)"
